fiscal_year,fiscal_quarter,total_units,cancel_units,net_units,gross_value,cancel_value,net_value,avg_ticket_size,cancel_rate_pct,units_growth_pct,revenue_growth_pct,period,yoy_units_growth,yoy_revenue_growth
2023,Q4,31,12,19,7256401427.33,-1283788819.16,8540190246.49,449483697.18,38.71,,,2023-Q4,0.0,0.0
2024,Q1,573,116,457,63969104614.53,-9271778648.47,73240883263.0,160264514.8,20.24,2305.263157894737,757.6024789740703,2024-Q1,0.0,0.0
2024,Q2,504,121,383,71229513247.0,-11816528356.05,83046041603.05,216830395.83,24.01,-16.192560175054705,13.387547914790643,2024-Q2,0.0,0.0
2024,Q3,1854,76,1778,289772565463.27,-4978832261.969998,294751397725.24,165776939.1,4.1,364.2297650130549,254.9252824524929,2024-Q3,0.0,0.0
2024,Q4,67,85,-18,9580156049.06,-11099642503.59,20679798552.65,0.0,126.87,-101.01237345331833,-92.98398626359452,2024-Q4,-194.73684210526315,142.1468135460958
2025,Q1,14,7,7,3458559081.399999,-684900622.1,4143459703.499999,591922814.79,50.0,-138.88888888888889,-79.9637327561441,2025-Q1,-98.46827133479212,-94.34269561083624
2025,Q2,16,7,9,1854367959.26,-328948495.59999996,2183316454.86,242590717.21,43.75,28.57142857142858,-47.30692196630408,2025-Q2,-97.65013054830287,-97.37095662512611
2025,Q3,3,4,-1,329238151.05,-598581983.65,927820134.7,0.0,133.33,-111.11111111111111,-57.504092792655,2025-Q3,-100.05624296962881,-99.68521942835199
